station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
1 Ave & E 38 St,0,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,1,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,2,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,3,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,4,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,5,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,6,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,7,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,8,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,9,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,10,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,11,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,12,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,13,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,14,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,15,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,16,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,17,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,18,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,19,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,20,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,21,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,22,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 38 St,23,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,0,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,1,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,2,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,3,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,4,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,5,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,6,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,7,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,8,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,9,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,10,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,11,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,12,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,13,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,14,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,15,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,16,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,17,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,18,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,19,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,20,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,21,0.0,0.0,0.0,0.0,0.0,0.0
1 Ave & E 6 St,22,0.0,0.0,0.0,0.0,0.0,0.0
