rank,station,station_id,lat,lng,total_trips_out,total_trips_in,total_activity,active_hours,avg_activity_per_hour
1,Grove St PATH,232,40.719410089060446,-74.0430895335648,262.0,255.0,517.0,168,3.0773809523809526
2,Bergen Ave & Sip Ave,73,40.73100861457616,-74.06443580390187,183.0,191.0,374.0,168,2.2261904761904763
3,River St & Newark St,347,40.73672227316332,-74.02900660353771,165.0,187.0,352.0,168,2.0952380952380953
4,Hoboken Terminal - Hudson St & Hudson Pl,241,40.73593766181611,-74.03030454532558,157.0,156.0,313.0,168,1.8630952380952381
5,River St & 1 St,346,40.73721535335381,-74.02886540972803,110.0,123.0,233.0,168,1.3869047619047619
6,8 St & Washington St,47,40.74598399455505,-74.02819906711133,108.0,110.0,218.0,168,1.2976190476190477
7,City Hall - Washington St & 1 St,121,40.73736043050498,-74.03096984182203,106.0,110.0,216.0,168,1.2857142857142858
8,Newport PATH,317,40.72722370145843,-74.0337586272602,105.0,107.0,212.0,168,1.2619047619047619
9,Clinton St & 7 St,126,40.74542,-74.03332,101.0,102.0,203.0,168,1.2083333333333333
10,11 St & Washington St,7,40.74998491062016,-74.0271505657902,102.0,99.0,201.0,168,1.1964285714285714
11,Marshall St & 2 St,290,40.7408019694732,-74.04252090404232,98.0,94.0,192.0,168,1.1428571428571428
12,Columbus Drive,134,40.71835519823214,-74.03891444206238,94.0,92.0,186.0,168,1.1071428571428572
13,Newark St & Washington St,316,40.73681,-74.0309,85.0,101.0,186.0,168,1.1071428571428572
14,Willow Ave & 12 St,482,40.7518674823282,-74.03037697076797,94.0,88.0,182.0,168,1.0833333333333333
15,Madison St & 1 St,279,40.73879003983277,-74.03930002304375,93.0,85.0,178.0,168,1.0595238095238095
16,Columbus Park - Clinton St & 9 St,135,40.74816121065146,-74.0324530005455,96.0,76.0,172.0,168,1.0238095238095237
17,Manila & 1st,285,40.72165066534722,-74.04288400739001,82.0,89.0,171.0,168,1.0178571428571428
18,Hamilton Park,233,40.72759628947792,-74.04424673949755,87.0,80.0,167.0,168,0.9940476190476191
19,7 St & Monroe St,40,40.74641307193006,-74.03797724886287,85.0,81.0,166.0,168,0.9880952380952381
20,McGinley Square,291,40.7253399253558,-74.06762212514877,86.0,77.0,163.0,168,0.9702380952380952
21,Newport Pkwy,318,40.72874490064144,-74.03210803096536,77.0,81.0,158.0,168,0.9404761904761905
22,4 St & Grand St,23,40.7422579775645,-74.03511106967926,76.0,80.0,156.0,168,0.9285714285714286
23,Marin Light Rail,287,40.71458403535893,-74.04281705617905,72.0,81.0,153.0,168,0.9107142857142857
24,City Hall,120,40.7177325,-74.043845,60.0,80.0,140.0,168,0.8333333333333334
25,12 St & Sinatra Dr N,9,40.75060332962138,-74.02401472714877,72.0,67.0,139.0,168,0.8273809523809523
26,Brunswick St,102,40.7241765,-74.0506564,73.0,66.0,139.0,168,0.8273809523809523
27,4 St & River St,24,40.7408139,-74.0274062,66.0,71.0,137.0,168,0.8154761904761905
28,9 St HBLR - Jackson St & 8 St,53,40.747907209689,-74.03841152787209,73.0,64.0,137.0,168,0.8154761904761905
29,14 St Ferry - 14 St & Shipyard Ln,10,40.75296055035482,-74.02435261154231,70.0,66.0,136.0,168,0.8095238095238095
30,Church Sq Park - 5 St & Park Ave,118,40.74265915287665,-74.03223290838103,68.0,65.0,133.0,168,0.7916666666666666
